year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2023,200,Ukraine,UKR,UKR,202,United States of America,USA,USA,3299,17773,1000,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,3,Albania,ALB,ALB,9250,0,0,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,8,Egypt,ARE,EGY,0,10,0,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,9,Argentina,ARG,ARG,121,26,0,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,10,Armenia,ARM,ARM,706,63,0,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,11,Australia,AUL,AUS,34,1019,0,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,12,Austria,AUS,AUT,84987,56,8000,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,13,Azerbaijan,AZE,AZE,4906,206,0,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,17,Belgium,BEL,BEL,85635,887,0,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,24,Belarus,BLR,BLR,43114,1199,0,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,25,Bolivia (Plurinational State of),BOL,BOL,7,9,0,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,27,Brazil,BRA,BRA,1330,34,0,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,29,Bosnia and Herzegovina,BSN,BIH,267,5,0,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,30,Bulgaria,BUL,BGR,74322,5,29000,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,33,Canada,CAN,CAN,75221,824,3000,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,37,China,CHI,CHN,0,18,0,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,38,Chile,CHL,CHL,67,45,0,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,44,Colombia,COL,COL,9,25,0,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,45,Costa Rica,COS,CRI,35,18,0,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,48,Cyprus,CYP,CYP,21875,85,0,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,49,Czechia,CZE,CZE,388388,126,10000,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,50,Denmark,DEN,DNK,36058,640,0,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,53,Dominican Rep.,DOM,DOM,5,28,0,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,54,Ecuador,ECU,ECU,102,8,0,0,0,0,0,NA,0
2024,200,Ukraine,UKR,UKR,57,Estonia,EST,EST,41729,98,0,0,0,0,0,NA,0
